Function,Dims,Model,Run,MSE,MAE,R2,RMSE,train_time,n_params,expression,best_generation,best_fitness
rastrigin,2,MLP-ReLU,2,0.014225552350694969,0.09562781255913806,0.5835948786740056,0.11927091997085865,19.28680992126465,641,,-1,
rastrigin,2,MLP-ReLU,3,0.014546752265207843,0.09707505818041598,0.574192833250715,0.12060991777299179,19.86204695701599,641,,-1,
rastrigin,2,MLP-ReLU,4,0.014122260466842904,0.09522324903611183,0.586618400598995,0.11883711737854846,20.165515899658203,641,,-1,
rastrigin,2,MLP-Sin,0,0.014444987124578135,0.09685794573750918,0.5771716649112375,0.12018730018008615,18.33199405670166,641,,-1,
rastrigin,2,MLP-Sin,1,0.01453961844907362,0.09690813140520124,0.5744016516852937,0.12058034022623099,17.623723030090332,641,,-1,
rastrigin,2,MLP-Sin,2,0.01469018510705817,0.09768709543387502,0.5699943200091606,0.12120307383502354,17.882538080215454,641,,-1,
rastrigin,2,MLP-Sin,3,0.014425471837554412,0.09681264515017544,0.5777429091947981,0.12010608576402118,17.704965829849243,641,,-1,
rastrigin,2,MLP-Sin,4,0.014516483884202907,0.09686196404131538,0.5750788381350235,0.12048437195007039,18.728336811065674,641,,-1,
rastrigin,2,ChebyKAN,0,0.014553876120494165,0.09797859550047239,0.5739843063864021,0.1206394467845993,33.364206075668335,260,,-1,
rastrigin,2,ChebyKAN,1,0.015636126678499996,0.10042354630176019,0.5423050672397036,0.12504449879342952,33.43665409088135,260,,-1,
rastrigin,2,ChebyKAN,2,0.014934185944078414,0.09833362665558223,0.5628520175074166,0.12220550701207541,34.94470000267029,260,,-1,
rastrigin,2,ChebyKAN,3,0.014503392042050508,0.09838192157165934,0.575462057709593,0.1204300296522861,35.54055309295654,260,,-1,
rastrigin,2,ChebyKAN,4,0.014874169304454123,0.09923158226981087,0.5646088024454097,0.12195970360924187,34.29427886009216,260,,-1,
rastrigin,2,FourierKAN,0,0.01764338091313446,0.10282315478953982,0.4835494616575945,0.1328283889578371,42.25162696838379,533,,-1,
rastrigin,2,FourierKAN,1,0.016157076811403093,0.09971486360476894,0.5270560071014019,0.12711049056393062,41.414976835250854,533,,-1,
rastrigin,2,FourierKAN,2,0.014035588167630503,0.0916286511773912,0.5891554401725324,0.11847188766804766,37.284383058547974,533,,-1,
rastrigin,2,FourierKAN,3,0.016412504685370095,0.10179616445721063,0.5195792165890059,0.12811129803951757,36.81963109970093,533,,-1,
rastrigin,2,FourierKAN,4,0.015064936662273782,0.09958368983559683,0.5590247307116991,0.12273930365727916,36.31061911582947,533,,-1,
