Function,Dims,Model,Run,MSE,MAE,R2,RMSE,train_time,n_params,expression,best_generation,best_fitness
ackley,2,ChebyKAN-matched,4,0.004296885420182223,0.049795195599676274,0.8729078295916717,0.06555063249261767,3.7351627349853516,20,,-1,
ackley,5,ChebyKAN-matched,0,0.002438429746256764,0.03810335321319801,0.8982523383559562,0.04938045915396863,2.7390336990356445,35,,-1,
ackley,5,ChebyKAN-matched,1,0.002437718785473913,0.03842061152646714,0.8982820044135028,0.04937325982223488,5.509618282318115,35,,-1,
ackley,5,ChebyKAN-matched,2,0.0023822181120536565,0.037414481761842276,0.9005978651631715,0.048807971808441875,5.250671148300171,35,,-1,
ackley,5,ChebyKAN-matched,3,0.0025246093749081884,0.038732016031136476,0.8946563456027941,0.05024549109032758,3.0025761127471924,35,,-1,
ackley,5,ChebyKAN-matched,4,0.0026431205755693354,0.03939060218572631,0.8897112625777815,0.05141128840604304,2.47737193107605,35,,-1,
sine_composite,2,ChebyKAN-matched,0,2.277352276681354e-06,0.001251401144538892,0.9999664383241809,0.0015090898835660367,6.365417242050171,20,,-1,
sine_composite,2,ChebyKAN-matched,1,6.571918924484256e-06,0.0019997025528960357,0.9999031486631597,0.0025635754181385527,6.654046058654785,20,,-1,
sine_composite,2,ChebyKAN-matched,2,4.054006933968406e-06,0.0015655681935939577,0.9999402555029016,0.002013456464383674,6.977992057800293,20,,-1,
sine_composite,2,ChebyKAN-matched,3,2.7068633877479146e-06,0.0012785299974658096,0.9999601085556958,0.0016452548093678118,7.267359018325806,20,,-1,
sine_composite,2,ChebyKAN-matched,4,4.68525801673856e-06,0.0016601981290186056,0.9999309526627493,0.0021645456836801944,7.2642669677734375,20,,-1,
sine_composite,5,ChebyKAN-matched,0,0.023298451818407097,0.12673318666152272,0.21736513678227942,0.15263830390307373,7.039896011352539,35,,-1,
sine_composite,5,ChebyKAN-matched,1,0.02554174061336144,0.13367741220859486,0.14200922760509316,0.15981783571729857,1.115900993347168,35,,-1,
sine_composite,5,ChebyKAN-matched,2,0.0249801071500827,0.13308929161934968,0.16087545666347103,0.15805096377460878,1.144589900970459,35,,-1,
sine_composite,5,ChebyKAN-matched,3,0.026441372097606896,0.13562216927264895,0.11178906666450517,0.1626080320820804,0.971660852432251,35,,-1,
sine_composite,5,ChebyKAN-matched,4,0.024124991573732074,0.12956513410466605,0.1896002520854474,0.1553222185449721,5.730659246444702,35,,-1,
fourier_mixture,2,ChebyKAN-matched,0,0.012131147152591568,0.09882747426071273,0.8359245544703169,0.1101414869728549,4.079540014266968,20,,-1,
fourier_mixture,2,ChebyKAN-matched,1,0.012032721833080968,0.09828964286337447,0.8372557705496348,0.10969376387507618,3.90986967086792,20,,-1,
fourier_mixture,2,ChebyKAN-matched,2,0.012203430038303282,0.09944474471530125,0.8349469184291295,0.11046913613450267,6.047418832778931,20,,-1,
fourier_mixture,2,ChebyKAN-matched,3,0.012329388405873694,0.09979215311998482,0.8332433140611871,0.11103777918291456,3.5401477813720703,20,,-1,
fourier_mixture,2,ChebyKAN-matched,4,0.012436163709903964,0.09998112511459599,0.8317991632846803,0.11151754888762559,4.053732872009277,20,,-1,
fourier_mixture,5,ChebyKAN-matched,0,0.026999979532455125,0.13644902099658202,0.11286327052594591,0.16431670497078235,1.1261391639709473,35,,-1,
fourier_mixture,5,ChebyKAN-matched,1,0.029066648072712045,0.14320444926541254,0.044958864616800875,0.1704894368361631,1.1303629875183105,35,,-1,
fourier_mixture,5,ChebyKAN-matched,2,0.02601413241965979,0.13218448381781792,0.1452551907626043,0.16128897178561152,1.5691871643066406,35,,-1,
fourier_mixture,5,ChebyKAN-matched,3,0.02518243222421601,0.131278866367184,0.17258231485919917,0.15868973572419864,6.17743992805481,35,,-1,
fourier_mixture,5,ChebyKAN-matched,4,0.02653103443163317,0.13422395931480405,0.1282713719486155,0.16288349956835152,2.5925068855285645,35,,-1,
